label
Ableism
Aphobia
Antisemitism
Antiziganism
Arophobia
Biphobia
Bullying
Classism
Colourism
Conversion therapy
Cyberbullying
Deadnaming
Disfigurmisia
Disownment
Fatphobia & body-shaming
Gentrification
Hate crimes
Homelessness
Homophobia
Islamophobia
Klu Klux Klan
Lesbophobia
Misgendering
Outing
Queerphobia
Poverty
Racism
Refugee experiences
Religious persecution
Sexism & misogyny
Slavery & indentured servitude
Slut-shaming
Terrorism
Transphobia
White supremacy
Workplace harassment
Bestiality
Dubious consent scenarios
Gang rape
Incest
Necrophilia
Paedophilia & grooming
Rape
Revenge pornography
Sexual assault
Sexual harassment
Sex trafficking
Sex-worker shaming
Sex work & sex slavery
Statutory rape
Abandonment
Adoption
Adult-minor relationships
"Arranged, forced & coerced marriage"
Cheating
Child abuse
Divorce
Domestic abuse & violence
Emotional abuse
Foster care
Infidelity
Intimate partner abuse & violence
Addiction
Agoraphobia
Alcoholism
Alzheimer’s Disease
Amnesia & memory disorders
Anxiety & anxiety attacks
Bipolar Disorder
Dementia
Depression
Disordered Eating & Exercise
Dissociation & dissociative episodes
Dysphoria
Eating disorders
Factitious Disorder
Gambling addiction
Hallucinations
Intrusive thoughts
Munchausen Syndrome
Obsessive-Compulsive Disorder
Phobias
Post Traumatic Stress Disorder
Psychiatric hospitalisation
Schizophrenia
Self-harm
Sex addiction
Sleep disorders
Stroke
Substance addiction
Suicide & attempted suicide
Suicidal ideation
Alcohol consumption & abuse
Drug abuse
Drugging
Overdose
Abortion
Childbirth
Infertility
Involuntary adoption
Involuntary pregnancy
Miscarriage
Pregnancy
Sterilization
Stillbirth
Teen and child pregnancy
Asthma
Amputation
Anaphylaxis
Blood & gore depiction
Body horror
Body modifications
Cancer
Cannibalism
Chronic illness & chronic pain
Coma
COVID-19
Dead bodies & body parts
Decapitation
Dismemberment
Emesis
Epilepsy
Eugenics
Eyeball trauma
Genital mutilation
Heart attack
Hospitalisation
Loss of autonomy
Loss of limb
Loss of vision
Medical experimentation
Medical treatment & procedures
Mutilation
Needles
"Pandemics,"
plagues and contagions
Paralysis
Physical injuries
Physical illness
Scars
Seizures
Starvation & dehydration
Surgery
Terminal illness
Weight loss & gain
Death from exposure
Death from falling
Death of a child
Death of a cousin
Death of a friend
Death of a grandparent
Death of a nephew & niece
Death of a parent & guardian
Death of a partner & spouse
Death of a sibling
Death of an aunt & uncle
Grief & loss depiction
"Asphyxia, strangulation & suffocation"
Blackmail
Boating accidents
Building collapse
Captivity & confinement
Car accident
Cults
Disappearance of a loved one
Electrocution
Explosions
Fire & arson
Gang violence
Garrotting
Gun violence
Hanging & lynching
Home invasion
Hostage situation
Imprisonment & incarceration
Kidnapping
"Knife, sword & axe violence"
Maritime disasters
Murder & attempted murder
Organised crime
Physical assault
Plane crash
Poisoning
Police brutality & violence
Scalping
School/workplace shooting
Stalking
Torture
Train accidents
Vitriolage
Vivisepulture
Whipping
Chemical gassing & warfare
Colonialism
Concentration camp
Conscription
Genocide
Massacres & mass murder
Military service & deployment
Nuclear disaster
Riots
War themes & military violence
Avalanche
Blizzard
Bushfire
Drought
Earthquakes
Floods
Landslide
Sinkhole
"Tornadoes, hurricanes & cyclones"
Animal attack
Animal cruelty & abuse
Animal death
Animal illness & injury
Animal testing & experimentation
Hunting
