label
Abandonment
Ableism
Abortion
Addiction
Adoption
Adult-minor relationships
Agoraphobia
Alcohol consumption & abuse
Alcoholism
Alzheimer’s Disease
Amnesia & memory disorders
Amputation
Anaphylaxis
Animal attack
Animal cruelty & abuse
Animal death
Animal illness & injury
Animal testing & experimentation
Antisemitism
Antiziganism
Anxiety & anxiety attacks
Aphobia
Arophobia
"Arranged, forced & coerced marriage"
"Asphyxia, strangulation & suffocation"
Asthma
Avalanche
Bestiality
Biphobia
Bipolar Disorder
Blackmail
Blizzard
Blood & gore depiction
Boating accidents
Body horror
Body modifications
Building collapse
Bullying
Bushfire
Cancer
Cannibalism
Captivity & confinement
Car accident
Cheating
Chemical gassing & warfare
Child abuse
Childbirth
Chronic illness & chronic pain
Classism
Colonialism
Colourism
Coma
Concentration camp
Conscription
Conversion therapy
COVID-19
Cults
Cyberbullying
Dead bodies & body parts
Deadnaming
Death from exposure
Death from falling
Death of a child
Death of a cousin
Death of a friend
Death of a grandparent
Death of a nephew & niece
Death of a parent & guardian
Death of a partner & spouse
Death of a sibling
Death of an aunt & uncle
Decapitation
Dementia
Depression
Disappearance of a loved one
Disfigurmisia
Dismemberment
Disordered Eating & Exercise
Disownment
Dissociation & dissociative episodes
Divorce
Domestic abuse & violence
Drought
Drug abuse
Drugging
Dubious consent scenarios
Dysphoria
Earthquakes
Eating disorders
Electrocution
Emesis
Emotional abuse
Epilepsy
Eugenics
Explosions
Eyeball trauma
Factitious Disorder
Fatphobia & body-shaming
Fire & arson
Floods
Foster care
Gambling addiction
Gang rape
Gang violence
Garrotting
Genital mutilation
Genocide
Gentrification
Grief & loss depiction
Gun violence
Hallucinations
Hanging & lynching
Hate crimes
Heart attack
Home invasion
Homelessness
Homophobia
Hospitalisation
Hostage situation
Hunting
Imprisonment & incarceration
Incest
Infertility
Infidelity
Intimate partner abuse & violence
Intrusive thoughts
Involuntary adoption
Involuntary pregnancy
Islamophobia
Kidnapping
Klu Klux Klan
"Knife, sword & axe violence"
Landslide
Lesbophobia
Loss of autonomy
Loss of limb
Loss of vision
Maritime disasters
Massacres & mass murder
Medical experimentation
Medical treatment & procedures
Military service & deployment
Miscarriage
Misgendering
Munchausen Syndrome
Murder & attempted murder
Mutilation
Necrophilia
Needles
Nuclear disaster
Obsessive-Compulsive Disorder
Organised crime
Outing
Overdose
Paedophilia & grooming
"Pandemics,"
Paralysis
Phobias
Physical assault
Physical illness
Physical injuries
plagues and contagions
Plane crash
Poisoning
Police brutality & violence
Post Traumatic Stress Disorder
Poverty
Pregnancy
Psychiatric hospitalisation
Queerphobia
Racism
Rape
Refugee experiences
Religious persecution
Revenge pornography
Riots
Scalping
Scars
Schizophrenia
School/workplace shooting
Seizures
Self-harm
Sex addiction
Sex trafficking
Sex work & sex slavery
Sex-worker shaming
Sexism & misogyny
Sexual assault
Sexual harassment
Sinkhole
Slavery & indentured servitude
Sleep disorders
Slut-shaming
Stalking
Starvation & dehydration
Statutory rape
Sterilization
Stillbirth
Stroke
Substance addiction
Suicidal ideation
Suicide & attempted suicide
Surgery
Teen and child pregnancy
Terminal illness
Terrorism
"Tornadoes, hurricanes & cyclones"
Torture
Train accidents
Transphobia
Vitriolage
Vivisepulture
War themes & military violence
Weight loss & gain
Whipping
White supremacy
Workplace harassment
